date,close
2021-10-26,232.9
2021-10-27,230.8
2021-10-28,232.8
2021-10-29,230.4
2021-11-01,226.5
2021-11-02,220.6
2021-11-04,219.6
2021-11-05,221.3
2021-11-08,221.5
2021-11-09,220.2
2021-11-10,223.7
2021-11-11,227.1
2021-11-12,227.6
2021-11-15,227.3
2021-11-16,229.4
2021-11-17,225.4
2021-11-18,229.8
2021-11-19,238.4
2021-11-22,247.8
2021-11-24,256.7
2021-11-25,246.3
2021-11-26,247.7
2021-11-29,241.0
2021-11-30,245.9
2021-12-01,243.6
2021-12-02,240.6
2021-12-03,236.7
2021-12-06,237.0
2021-12-07,236.5
2021-12-08,228.7
2021-12-09,229.1
2021-12-10,236.8
2021-12-13,235.3
2021-12-14,232.9
2021-12-15,232.9
2021-12-16,233.6
2021-12-17,226.7
2021-12-20,227.7
2021-12-21,229.8
2021-12-22,233.3
2021-12-23,230.2
2021-12-24,229.0
2021-12-27,234.0
2021-12-28,236.2
2021-12-29,238.0
2021-12-30,239.6
2022-01-04,243.8
2022-01-05,238.0
2022-01-06,241.4
2022-01-07,239.5
2022-01-11,243.3
2022-01-12,244.4
2022-01-13,246.5
2022-01-14,242.9
2022-01-17,242.2
2022-01-18,250.0
2022-01-19,250.5
2022-01-20,244.4
2022-01-21,238.2
2022-01-24,233.2
2022-01-25,239.0
2022-01-26,236.5
2022-01-27,239.4
2022-01-28,244.8
2022-01-31,246.7
2022-02-01,247.7
2022-02-02,241.0
2022-02-03,241.6
2022-02-04,247.0
2022-02-07,248.7
2022-02-08,251.0
2022-02-09,253.8
2022-02-10,257.6
2022-02-14,254.2
2022-02-15,256.8
2022-02-16,252.5
2022-02-17,257.6
2022-02-18,260.3
2022-02-21,256.9
2022-02-22,259.0
2022-02-24,261.3
2022-02-25,263.0
2022-02-28,256.9
2022-03-01,259.9
2022-03-02,260.0
2022-03-03,255.2
2022-03-04,253.0
2022-03-07,243.0
2022-03-08,247.5
2022-03-09,245.5
2022-03-10,244.1
2022-03-11,240.6
2022-03-14,244.9
2022-03-15,244.7
2022-03-16,245.2
2022-03-17,248.1
2022-03-18,251.8
2022-03-22,252.5
2022-03-23,255.2
2022-03-24,256.3
2022-03-25,254.1
2022-03-28,252.6
2022-03-29,256.3
2022-03-30,259.9
2022-03-31,261.8
